timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, HANDOVER_RIGHT
1.6449324273416197e+18,-5205.0,4976.0,-4056.0,1
1.644932427389572e+18,-3938.0,7561.0,-3000.0,1
1.644932427441055e+18,-2542.0,9042.0,-2105.0,1
1.6449324274937477e+18,-40.0,9900.0,-1308.0,1
1.6449324275375585e+18,2001.0,6684.0,-2227.0,1
1.6449324275946217e+18,4586.0,9150.0,-2175.0,1
1.6449324276360645e+18,4162.0,6040.0,467.0,1
1.6449324276906312e+18,6347.0,4244.0,3317.0,1
1.644932427741469e+18,6048.0,4953.0,4946.0,1
1.6449324277909699e+18,3298.0,7185.0,3238.0,1
1.64493242783702e+18,-1387.0,8156.0,2260.0,1
1.6449324278877207e+18,-3874.0,9956.0,2017.0,1
1.6449324279393682e+18,-2240.0,8179.0,1587.0,1
1.644932427992075e+18,434.0,8610.0,353.0,1
1.6449324280399022e+18,1253.0,9692.0,1137.0,1
1.644932428092848e+18,2592.0,6183.0,2491.0,1
1.6449324281379625e+18,1755.0,9187.0,-264.0,1
1.6449324281960264e+18,1367.0,8012.0,-537.0,1
1.6449324282423688e+18,2324.0,8242.0,450.0,1
1.644932428289824e+18,2072.0,8095.0,2006.0,1
1.6449324283393807e+18,1969.0,7802.0,1329.0,1
1.6449324283921316e+18,198.0,8465.0,4024.0,1
1.644932428435941e+18,321.0,6496.0,3151.0,1
1.6449324284888842e+18,189.0,8583.0,1472.0,1
1.644932428542243e+18,1050.0,7475.0,2158.0,1
1.6449324285925217e+18,1413.0,8186.0,2115.0,1
1.6449324286374264e+18,1003.0,7950.0,2007.0,1
1.644932428691282e+18,353.0,8112.0,1626.0,1
1.644932428744536e+18,52.0,8061.0,1266.0,1
1.644932428792282e+18,168.0,8123.0,1221.0,1
1.6449324288413066e+18,514.0,8275.0,1239.0,1
1.644932428891052e+18,712.0,8354.0,1142.0,1
1.6449324289443177e+18,652.0,8769.0,898.0,1
1.644932428992345e+18,552.0,8618.0,893.0,1
1.644932429044509e+18,488.0,8177.0,560.0,1
1.644932429091073e+18,589.0,9374.0,-271.0,1
1.6449324291423107e+18,815.0,6811.0,1034.0,1
1.6449324291926597e+18,795.0,7615.0,890.0,1
1.6449324292449155e+18,611.0,10772.0,-894.0,1
1.64493242929257e+18,684.0,7436.0,1058.0,1
1.6449324293463188e+18,706.0,8562.0,1011.0,1
1.6449324293914076e+18,514.0,8312.0,1136.0,1
1.6449324294428746e+18,665.0,7730.0,1267.0,1
1.6449324294926784e+18,664.0,8341.0,1036.0,1
1.6449324295421148e+18,686.0,8561.0,798.0,1
1.644932429591979e+18,715.0,8549.0,937.0,1
1.6449324296428152e+18,670.0,8537.0,784.0,1
1.6449324296919854e+18,755.0,8630.0,637.0,1
1.644932429742939e+18,668.0,8504.0,606.0,1
1.6449324297924805e+18,783.0,8544.0,518.0,1
1.6449324298463365e+18,709.0,8529.0,584.0,1
1.6449324298918477e+18,674.0,8498.0,673.0,1
1.6449324299436483e+18,689.0,8350.0,745.0,1
1.6449324299930975e+18,623.0,8329.0,726.0,1
1.6449324300431078e+18,649.0,8129.0,524.0,1
1.6449324300917537e+18,682.0,7794.0,600.0,1
1.6449324301435244e+18,362.0,8340.0,359.0,1
1.6449324301924447e+18,64.0,9103.0,58.0,1
1.6449324302439188e+18,-197.0,9248.0,279.0,1
1.6449324302914463e+18,-638.0,8680.0,416.0,1
1.6449324303400952e+18,-903.0,9495.0,309.0,1
1.6449324303965975e+18,-909.0,8335.0,835.0,1
1.6449324304441426e+18,-604.0,9000.0,526.0,1
1.6449324304982292e+18,-249.0,8604.0,395.0,1
1.6449324305447483e+18,381.0,8414.0,291.0,1
1.6449324305965018e+18,1025.0,8054.0,-261.0,1
1.6449324306355858e+18,1418.0,8231.0,-402.0,1
1.6449324306994435e+18,1703.0,6970.0,-350.0,1
1.6449324307416317e+18,2825.0,6632.0,-332.0,1
1.6449324307963192e+18,3660.0,5705.0,-451.0,1
1.6449324308426086e+18,4273.0,5765.0,-531.0,1
1.6449324308961633e+18,5157.0,5207.0,-601.0,1
1.6449324309220352e+18,5580.0,5143.0,-1087.0,1
1.6449324310096223e+18,5694.0,5260.0,-1313.0,1
1.6449324310435172e+18,7081.0,5331.0,-3113.0,1
1.6449324310959946e+18,7125.0,5705.0,-3644.0,1
1.6449324311388887e+18,7012.0,5897.0,-3738.0,1
1.6449324311974477e+18,6758.0,6521.0,-4257.0,1
1.6449324312428173e+18,6591.0,6878.0,-4794.0,1
1.6449324312962647e+18,5946.0,7131.0,-4971.0,1
