timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, IDLE
1.6449324188807992e+18,-2570.0,-1788.0,-7636.0,1
1.644932418929066e+18,-2597.0,-1766.0,-7557.0,1
1.6449324189813788e+18,-2626.0,-1773.0,-7545.0,1
1.6449324190290314e+18,-2638.0,-1850.0,-7699.0,1
1.644932419081319e+18,-2649.0,-1816.0,-7580.0,1
1.6449324191292206e+18,-2626.0,-1751.0,-7605.0,1
1.6449324191761933e+18,-2650.0,-1732.0,-7616.0,1
1.6449324192298918e+18,-2645.0,-1701.0,-7666.0,1
1.6449324192784855e+18,-2617.0,-1654.0,-7665.0,1
1.6449324193337582e+18,-2529.0,-1615.0,-7691.0,1
1.6449324193807908e+18,-2477.0,-1599.0,-7557.0,1
1.6449324194301258e+18,-2387.0,-1686.0,-7577.0,1
1.6449324194783557e+18,-2341.0,-1770.0,-7728.0,1
1.6449324195303885e+18,-2348.0,-1818.0,-7820.0,1
1.6449324195788526e+18,-2314.0,-1838.0,-7872.0,1
1.6449324196317169e+18,-2284.0,-1830.0,-7876.0,1
1.6449324196792412e+18,-2372.0,-1922.0,-7878.0,1
1.6449324197307738e+18,-2341.0,-1934.0,-7906.0,1
1.6449324197802406e+18,-2407.0,-1786.0,-7801.0,1
1.6449324198293614e+18,-2527.0,-1708.0,-7660.0,1
1.6449324198798758e+18,-2576.0,-1820.0,-7659.0,1
1.644932419933839e+18,-2662.0,-1694.0,-7608.0,1
1.6449324199783887e+18,-2712.0,-1610.0,-7541.0,1
1.6449324200343076e+18,-2755.0,-1588.0,-7520.0,1
1.6449324200786616e+18,-2783.0,-1588.0,-7527.0,1
1.6449324201302364e+18,-2821.0,-1561.0,-7574.0,1
1.6449324201806577e+18,-2844.0,-1551.0,-7552.0,1
1.644932420230847e+18,-2824.0,-1630.0,-7570.0,1
1.6449324202798272e+18,-2894.0,-1690.0,-7531.0,1
1.644932420330512e+18,-2779.0,-1624.0,-7533.0,1
1.6449324203800855e+18,-2736.0,-1574.0,-7545.0,1
1.644932420429656e+18,-2793.0,-1584.0,-7545.0,1
1.644932420478971e+18,-2870.0,-1568.0,-7570.0,1
1.6449324205320474e+18,-2865.0,-1494.0,-7494.0,1
1.6449324205824594e+18,-2735.0,-1514.0,-7594.0,1
1.644932420631203e+18,-2803.0,-1511.0,-7565.0,1
1.644932420685496e+18,-2952.0,-1507.0,-7602.0,1
1.6449324207306967e+18,-2888.0,-1500.0,-7726.0,1
1.644932420782063e+18,-3006.0,-1419.0,-7657.0,1
1.644932420831544e+18,-3039.0,-1484.0,-7716.0,1
1.644932420885531e+18,-3081.0,-1415.0,-7782.0,1
1.644932420933028e+18,-3144.0,-1270.0,-7536.0,1
1.6449324209849288e+18,-3146.0,-1175.0,-7468.0,1
1.644932421033068e+18,-3175.0,-1164.0,-7400.0,1
1.6449324210854177e+18,-3181.0,-1194.0,-7371.0,1
1.644932421127222e+18,-3242.0,-1201.0,-7374.0,1
1.6449324211821489e+18,-3234.0,-1249.0,-7395.0,1
1.6449324212342886e+18,-3175.0,-1185.0,-7411.0,1
1.6449324212851407e+18,-3132.0,-1218.0,-7358.0,1
1.644932421329573e+18,-3356.0,-1255.0,-7726.0,1
1.6449324213823575e+18,-3390.0,-1114.0,-7479.0,1
1.6449324214284047e+18,-3130.0,-1033.0,-7674.0,1
1.6449324214841385e+18,-3334.0,-1301.0,-7039.0,1
1.6449324215318062e+18,-2777.0,-752.0,-7849.0,1
1.6449324215851213e+18,-3350.0,-618.0,-7688.0,1
1.6449324216308923e+18,-3108.0,-1303.0,-7312.0,1
1.6449324216855153e+18,-3065.0,-1560.0,-7295.0,1
1.644932421731298e+18,-3331.0,-1485.0,-7509.0,1
1.6449324217827003e+18,-3315.0,-1176.0,-7540.0,1
1.6449324218305375e+18,-3219.0,-1031.0,-7471.0,1
1.644932421885176e+18,-3301.0,-1173.0,-7377.0,1
1.6449324219329802e+18,-3442.0,-1057.0,-7457.0,1
1.6449324219843116e+18,-3502.0,-1057.0,-7425.0,1
1.644932422032531e+18,-3482.0,-1074.0,-7359.0,1
1.6449324220916076e+18,-3558.0,-1122.0,-7245.0,1
1.6449324221300634e+18,-3576.0,-1074.0,-7189.0,1
1.6449324221838766e+18,-3631.0,-1102.0,-7240.0,1
1.6449324222320724e+18,-3694.0,-1189.0,-7202.0,1
1.644932422284209e+18,-3695.0,-1210.0,-7213.0,1
1.644932422332895e+18,-3696.0,-1218.0,-7211.0,1
1.6449324223824653e+18,-3684.0,-1305.0,-7208.0,1
1.6449324224381332e+18,-3683.0,-1309.0,-7174.0,1
1.6449324224829148e+18,-3653.0,-1299.0,-7260.0,1
1.6449324225354258e+18,-3669.0,-1327.0,-7318.0,1
1.6449324225835804e+18,-3684.0,-1317.0,-7206.0,1
1.6449324226370186e+18,-3583.0,-1330.0,-7292.0,1
1.6449324226855782e+18,-3665.0,-1313.0,-7210.0,1
1.64493242273093e+18,-3638.0,-1313.0,-7209.0,1
1.644932422783281e+18,-3569.0,-1356.0,-7271.0,1
1.6449324228356772e+18,-3612.0,-1328.0,-7261.0,1
1.6449324228831386e+18,-3620.0,-1300.0,-7242.0,1
1.644932422938452e+18,-3615.0,-1264.0,-7265.0,1
1.6449324229827983e+18,-3636.0,-1285.0,-7221.0,1
1.644932423040389e+18,-3629.0,-1329.0,-7245.0,1
1.6449324230853604e+18,-3632.0,-1288.0,-7254.0,1
1.6449324231378744e+18,-3626.0,-1263.0,-7228.0,1
1.6449324231842806e+18,-3590.0,-1279.0,-7264.0,1
1.6449324232369754e+18,-3652.0,-1286.0,-7211.0,1
1.644932423284309e+18,-3621.0,-1292.0,-7314.0,1
1.6449324233327066e+18,-3667.0,-1302.0,-7226.0,1
1.6449324233886272e+18,-3589.0,-1222.0,-7276.0,1
1.644932423434093e+18,-3662.0,-1246.0,-7247.0,1
1.6449324234849185e+18,-3667.0,-1226.0,-7242.0,1
1.6449324235384558e+18,-3668.0,-1193.0,-7265.0,1
1.6449324235852547e+18,-3625.0,-1223.0,-7209.0,1
1.6449324236376102e+18,-3634.0,-1202.0,-7280.0,1
1.6449324236845414e+18,-3700.0,-1220.0,-7232.0,1
1.6449324237315256e+18,-3703.0,-1230.0,-7261.0,1
1.644932423784017e+18,-3695.0,-1232.0,-7248.0,1
1.6449324238369313e+18,-3723.0,-1220.0,-7167.0,1
1.6449324238859226e+18,-3646.0,-1235.0,-7193.0,1
1.6449324239385062e+18,-3585.0,-1089.0,-7270.0,1
1.6449324239888942e+18,-3629.0,-1037.0,-7181.0,1
1.6449324240359324e+18,-3496.0,-862.0,-7292.0,1
1.6449324240880325e+18,-3541.0,-900.0,-7175.0,1
1.6449324241370122e+18,-3566.0,-1035.0,-7120.0,1
1.6449324241885015e+18,-3412.0,-1132.0,-7319.0,1
1.6449324242371484e+18,-3488.0,-1188.0,-7438.0,1
1.6449324242886973e+18,-3344.0,-1055.0,-7581.0,1
1.6449324243333025e+18,-3214.0,-950.0,-7672.0,1
1.6449324243877763e+18,-3388.0,-764.0,-7624.0,1
1.64493242443378e+18,-3332.0,-671.0,-7492.0,1
1.6449324244878697e+18,-3208.0,-596.0,-7690.0,1
1.644932424538423e+18,-3028.0,-253.0,-7604.0,1
1.644932424587893e+18,-3054.0,-317.0,-7670.0,1
1.6449324246349268e+18,-3193.0,-464.0,-7542.0,1
1.6449324246896156e+18,-3042.0,-464.0,-7689.0,1
1.644932424733647e+18,-2577.0,-832.0,-8108.0,1
1.6449324247872893e+18,-2916.0,-1140.0,-7962.0,1
1.644932424836865e+18,-3076.0,-1081.0,-8195.0,1
1.6449324248874788e+18,-3133.0,-1060.0,-7448.0,1
1.6449324249338719e+18,-2668.0,-755.0,-7451.0,1
1.644932424988174e+18,-2243.0,-854.0,-7797.0,1
1.6449324250370609e+18,-2559.0,-812.0,-7665.0,1
1.6449324250873708e+18,-2637.0,-820.0,-7711.0,1
1.6449324251343795e+18,-2495.0,-781.0,-7763.0,1
1.6449324251889528e+18,-2366.0,-772.0,-7889.0,1
1.644932425235638e+18,-2478.0,-962.0,-7844.0,1
1.6449324252890245e+18,-2386.0,-1027.0,-7933.0,1
1.6449324253348257e+18,-2297.0,-1083.0,-7852.0,1
1.6449324253892572e+18,-2186.0,-1317.0,-7725.0,1
1.644932425435432e+18,-2226.0,-1419.0,-7737.0,1
1.6449324254883249e+18,-2263.0,-1616.0,-7704.0,1
1.6449324255389407e+18,-2118.0,-1595.0,-7792.0,1
1.6449324255869612e+18,-2173.0,-1717.0,-7736.0,1
1.6449324256384215e+18,-2193.0,-1906.0,-7940.0,1
1.6449324256887516e+18,-2005.0,-1758.0,-8127.0,1
1.6449324257394568e+18,-1714.0,-1576.0,-7885.0,1
1.6449324257874074e+18,-1520.0,-1648.0,-7607.0,1
1.644932425840125e+18,-1554.0,-1651.0,-8018.0,1
1.6449324258892982e+18,-2227.0,-1995.0,-8700.0,1
1.6449324259403666e+18,-2967.0,-2378.0,-8347.0,1
1.6449324259891725e+18,-2389.0,-2309.0,-7240.0,1
1.644932426040044e+18,-989.0,-1786.0,-7485.0,1
1.644932426083789e+18,-1198.0,-1810.0,-8112.0,1
1.6449324261413197e+18,-2542.0,-1819.0,-7825.0,1
1.644932426187432e+18,-2335.0,-1952.0,-7774.0,1
1.6449324262391913e+18,-1840.0,-2023.0,-7679.0,1
1.644932426287796e+18,-1892.0,-1884.0,-7672.0,1
