timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, HANDOVER_LEFT
1.6461503467876165e+18,4429.0,-4810.0,5734.0,1
1.6461503468413847e+18,4956.0,-6902.0,5811.0,1
1.6461503468920154e+18,3793.0,-5558.0,6134.0,1
1.6461503469404785e+18,3117.0,-4258.0,5182.0,1
1.6461503469923308e+18,1752.0,-6713.0,4802.0,1
1.6461503470425382e+18,952.0,-6918.0,4370.0,1
1.6461503470883333e+18,451.0,-6472.0,3262.0,1
1.646150347142916e+18,73.0,-6864.0,3886.0,1
1.6461503471945137e+18,-298.0,-6950.0,4246.0,1
1.6461503472437624e+18,-330.0,-7874.0,3556.0,1
1.6461503472923607e+18,71.0,-7941.0,3533.0,1
1.6461503473399424e+18,-74.0,-6568.0,3795.0,1
1.6461503473915182e+18,-153.0,-8595.0,2860.0,1
1.6461503474416174e+18,144.0,-6605.0,3551.0,1
1.6461503474969966e+18,294.0,-6633.0,3772.0,1
1.646150347539242e+18,208.0,-7923.0,3128.0,1
1.6461503475924042e+18,347.0,-8170.0,3048.0,1
1.646150347642992e+18,339.0,-7139.0,3483.0,1
1.6461503476943521e+18,499.0,-7579.0,3679.0,1
1.6461503477417953e+18,612.0,-6992.0,2972.0,1
1.646150347791535e+18,716.0,-7453.0,2988.0,1
1.6461503478436365e+18,948.0,-7557.0,2759.0,1
1.6461503478945623e+18,808.0,-7765.0,3020.0,1
1.6461503479414853e+18,737.0,-7893.0,2907.0,1
1.6461503479964255e+18,669.0,-7708.0,2891.0,1
1.646150348038839e+18,725.0,-7242.0,3098.0,1
1.646150348093139e+18,766.0,-7653.0,2761.0,1
1.646150348140381e+18,783.0,-7717.0,2792.0,1
1.6461503481940628e+18,763.0,-7582.0,2979.0,1
1.6461503482452777e+18,761.0,-7770.0,2840.0,1
1.6461503482923087e+18,706.0,-7627.0,2912.0,1
1.64615034833933e+18,852.0,-7884.0,2801.0,1
1.6461503483943913e+18,760.0,-7966.0,3099.0,1
1.6461503484393288e+18,691.0,-7964.0,2851.0,1
1.646150348491011e+18,755.0,-8155.0,2650.0,1
1.6461503485468298e+18,122.0,-7343.0,2955.0,1
1.6461503485938793e+18,-535.0,-7504.0,2654.0,1
1.6461503486452375e+18,-873.0,-7670.0,2410.0,1
1.6461503486913234e+18,-670.0,-7535.0,2469.0,1
1.6461503487431798e+18,173.0,-5953.0,3163.0,1
1.6461503487927754e+18,1889.0,-5746.0,2990.0,1
1.6461503488447895e+18,2128.0,-6645.0,3251.0,1
1.646150348893982e+18,3387.0,-6015.0,3023.0,1
1.646150348945296e+18,2686.0,-5801.0,5239.0,1
1.646150348996874e+18,4744.0,-5961.0,3832.0,1
1.6461503490482783e+18,4281.0,-7621.0,4800.0,1
1.6461503490920927e+18,3791.0,-6015.0,5521.0,1
1.6461503491468628e+18,2360.0,-6871.0,4005.0,1
1.6461503491942628e+18,894.0,-9723.0,3774.0,1
1.6461503492451927e+18,1606.0,-8735.0,2318.0,1
1.64615034929683e+18,1944.0,-9287.0,822.0,1
1.6461503493455276e+18,2075.0,-7850.0,1945.0,1
1.6461503493940099e+18,2701.0,-7215.0,1236.0,1
1.6461508600350728e+18,1817.0,-6630.0,3070.0,1
1.6461508600850092e+18,2174.0,-7028.0,3248.0,1
1.646150860137103e+18,2307.0,-6583.0,3988.0,1
1.6461508601834335e+18,2597.0,-6467.0,4260.0,1
1.6461508602421706e+18,2709.0,-6276.0,4438.0,1
1.6461508602828306e+18,2930.0,-5446.0,4797.0,1
1.646150860335764e+18,3507.0,-5936.0,4132.0,1
1.6461508603823188e+18,3147.0,-6275.0,4721.0,1
1.6461508604373028e+18,3151.0,-5411.0,5296.0,1
1.646150860482582e+18,3335.0,-4587.0,5294.0,1
1.6461508605312333e+18,3323.0,-4289.0,5852.0,1
1.6461508605849774e+18,3047.0,-4028.0,5934.0,1
1.6461508606366385e+18,2455.0,-4337.0,6483.0,1
1.6461508606849075e+18,2298.0,-3840.0,6934.0,1
1.6461508607373335e+18,2682.0,-3632.0,6127.0,1
1.646150860785382e+18,2484.0,-3578.0,5947.0,1
1.6461508608372966e+18,2577.0,-4072.0,5646.0,1
1.646150860883398e+18,2562.0,-4208.0,5415.0,1
1.6461508609354772e+18,2875.0,-4548.0,5732.0,1
1.6461508609814584e+18,2921.0,-4525.0,5473.0,1
1.64615086103671e+18,2718.0,-5498.0,6288.0,1
1.6461508610849262e+18,2825.0,-4583.0,6407.0,1
1.6461508611355722e+18,2893.0,-4842.0,6592.0,1
1.6461508611859704e+18,3049.0,-5016.0,6044.0,1
1.6461508612363085e+18,2924.0,-4877.0,6073.0,1
1.6461508612882353e+18,2918.0,-4827.0,5996.0,1
1.646150861336123e+18,2977.0,-4783.0,6026.0,1
1.646150861391513e+18,2945.0,-5039.0,6030.0,1
1.6461508614351247e+18,2863.0,-5010.0,6067.0,1
1.6461508614909565e+18,2876.0,-4812.0,6115.0,1
1.6461508615350228e+18,2914.0,-4693.0,6123.0,1
1.6461508615895398e+18,2879.0,-4934.0,6073.0,1
1.646150861636117e+18,2870.0,-4790.0,6069.0,1
1.6461508616895278e+18,2881.0,-4873.0,6108.0,1
1.646150861735132e+18,2873.0,-4840.0,6188.0,1
1.6461508617824904e+18,2829.0,-5073.0,5922.0,1
1.6461508618347976e+18,2753.0,-5292.0,6471.0,1
1.646150861890715e+18,2898.0,-5229.0,6370.0,1
1.6461508619360108e+18,2879.0,-5169.0,6120.0,1
1.64615086198973e+18,2560.0,-5188.0,6364.0,1
1.6461508620357174e+18,2540.0,-5138.0,5911.0,1
1.6461508620854252e+18,1663.0,-5682.0,6168.0,1
1.6461508621330793e+18,622.0,-5086.0,4778.0,1
1.6461508621950707e+18,976.0,-5186.0,3850.0,1
1.6461508622384755e+18,1235.0,-2309.0,2149.0,1
1.6461508622854915e+18,2543.0,-1267.0,2738.0,1
1.6461508623342313e+18,3050.0,-3349.0,3491.0,1
1.6461508623914775e+18,2804.0,-748.0,2008.0,1
1.6461508624373087e+18,2424.0,-3334.0,3027.0,1
